Factor,ansible,cocos2d_x,coreclr,corefx,elasticsearch,kubernetes,prestashop,roslyn
contributor,,,,,,,,
author,0%,34%,,,,,,
commentor,,,,,,,,
integrator,1%,-1%,3%,1%,,1%,1%,1%
churn,,,0%,0%,,0%,,0%
entropy,0%,0%,1%,0%,0%,0%,1%,0%
jjj,-1%,6%,,-1%,0%,-1%,28%,-1%
jnj,-1%,-1%,0%,-1%,1%,0%,36%,-1%
jnj,-1%,-1%,0%,-1%,1%,0%,36%,-1%
jnj,-1%,-1%,0%,-1%,1%,0%,36%,-1%
jnj,-1%,-1%,0%,-1%,1%,0%,36%,-1%
njj,0%,3%,-1%,0%,0%,-1%,1%,0%
nnj,0%,2%,-1%,0%,0%,-1%,3%,0%
jjn,-1%,0%,1%,0%,0%,0%,0%,0%
jnn,-1%,0%,2110%,0%,1%,0%,0%,0%
njn,-1%,1%,-1%,-1%,-1%,0%,,-1%
nnn,,,1%,,,,699%,
top_iso,,,,2%,,,,2%
top_rso,0%,-1%,0%,0%,0%,,0%,0%
top_tco,-1%,10%,,0%,,0%,-1%,0%
size,7%,1%,0%,0%,0%,1%,0%,0%
