Factor,ansible,cocos2d_x,coreclr,corefx,elasticsearch,kubernetes,prestashop,roslyn
contributor,,,,,,,,
author,0.00->1.00,0.00->5.00,,,,,,
commentor,,,,,,,,
integrator,1.00->2.00,1.00->2.00,1.00->3.00,2.00->10.00,,1.00->2.00,1.00->3.00,2.00->10.00
churn,,,2.00->154.00,30.00->1197.20,,4.00->402.50,,30.00->1197.20
entropy,0.45->0.92,0.43->0.84,0.06->0.77,0.27->0.85,0.62->0.89,0.55->0.88,0.36->0.85,0.27->0.85
jjj,0.00->0.25,0.00->1.00,,0.03->0.22,0.07->0.27,0.00->1.00,0.00->1.00,0.03->0.22
jnj,0.00->1.00,0.00->1.00,0.00->1.00,0.00->1.00,0.00->0.07,0.00->0.08,0.00->1.00,0.00->1.00
jnj,0.00->1.00,0.00->1.00,0.00->1.00,0.00->1.00,0.00->0.07,0.00->0.08,0.00->1.00,0.00->1.00
jnj,0.00->1.00,0.00->1.00,0.00->1.00,0.00->1.00,0.00->0.07,0.00->0.08,0.00->1.00,0.00->1.00
jnj,0.00->1.00,0.00->1.00,0.00->1.00,0.00->1.00,0.00->0.07,0.00->0.08,0.00->1.00,0.00->1.00
njj,0.00->0.25,0.00->0.33,0.00->0.17,0.00->0.12,0.00->0.08,0.00->0.12,0.00->0.13,0.00->0.12
nnj,0.00->0.33,0.00->0.33,0.00->1.00,0.00->0.07,0.00->0.12,0.00->0.10,0.17->1.00,0.00->0.07
jjn,0.00->0.14,0.00->0.10,0.00->0.14,0.00->0.05,0.00->0.33,0.00->0.15,0.00->0.08,0.00->0.05
jnn,0.00->0.67,0.00->0.29,0.00->0.50,0.00->0.04,0.00->0.25,0.00->0.05,0.00->0.07,0.00->0.04
njn,0.00->0.50,0.00->0.25,0.00->0.43,0.02->0.33,0.06->0.36,0.09->0.44,,0.02->0.33
nnn,,,0.00->0.33,,,,0.00->0.85,
top_iso,,,,0.40->0.78,,,,0.40->0.78
top_rso,0.22->0.50,0.34->0.77,0.27->0.54,0.27->0.45,0.15->0.30,,0.00->0.42,0.27->0.45
top_tco,0.00->1.00,0.00->0.52,,0.43->0.83,,0.32->0.99,0.00->1.00,0.43->0.83
size,0.00->4758.00,0.00->2357.00,0.00->47.00,0.00->44.75,0.00->121.00,0.00->110.00,0.00->35.00,0.00->44.75
