module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1,5,4,1,2,317,,0,0.200000,0.000000,0.000000,0.200000,0.000000,0.600000,0.000000,0.000000,0.80000000000000000000,1.00000000000000000000,0.45425867507886435331,TRUE
2,9,7,4,2,49,,1435,0.111111,0.000000,0.111111,0.000000,0.111111,0.333333,0.111111,0.222222,0.62500000000000000000,0.37500000000000000000,0.61224489795918367347,TRUE
3,41,34,32,3,20837,0.669569,270,0.024390,0.000000,0.024390,0.000000,0.000000,0.146341,0.024390,0.780488,0.57580000000000000000,0.49667398438550735086,0.13044104237654172866,TRUE
4,13,9,9,3,220,0.780983,0,0.000000,0.076923,0.153846,0.000000,0.076923,0.076923,0.307692,0.307692,0.63640000000000000000,0.44153439153439153439,0.44545454545454545455,TRUE
6,4,3,3,2,54,,0,0.250000,0.000000,0.250000,0.000000,0.250000,0.250000,0.000000,0.000000,0.50000000000000000000,0.50000000000000000000,0.66666666666666666667,TRUE
12,20,16,12,3,40038,0.653571,766,0.100000,0.000000,0.050000,0.000000,0.000000,0.250000,0.000000,0.600000,0.50000000000000000000,0.39087301587301587302,0.25116139667316049753,TRUE
14,5,1,3,1,73,0.882959,0,0.000000,0.000000,0.000000,0.200000,0.000000,0.200000,0.600000,0.000000,1.00000000000000000000,0.33333333333333333333,1.00000000000000000000,TRUE
15,10,7,6,2,1474,,1786,0.000000,0.000000,0.200000,0.000000,0.100000,0.300000,0.200000,0.200000,0.61540000000000000000,0.58750000000000000000,0.36702849389416553596,FALSE
17,1,0,1,1,0,,208,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,1.00000000000000000000,0.00000000000000000000,FALSE
19,13,7,11,2,1186,0.634574,1751,0.000000,0.000000,0.153846,0.000000,0.076923,0.230769,0.230769,0.307692,0.70000000000000000000,0.35899470899470899471,0.38617200674536256324,TRUE
20,20,17,11,2,59225,0.908601,1209,0.050000,0.000000,0.050000,0.000000,0.100000,0.150000,0.100000,0.550000,0.83210000000000000000,0.56944444444444444444,0.33767834529337273111,TRUE
