module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
0,31,14,31,15,551,0.258370,0.129032,0.064516,0.000000,0.064516,0.000000,0.000000,0.096774,0.645161,0.20450000000000000000,0.22433721605737010102,0.46279491833030852995
1,55,32,48,22,2700,0.655685,0.054545,0.036364,0.036364,0.000000,0.000000,0.018182,0.018182,0.836364,0.18450000000000000000,0.17451272237284249199,0.18814814814814814815
2,16,8,15,7,30,0.914737,0.187500,0.062500,0.187500,0.000000,0.000000,0.250000,0.062500,0.250000,0.26670000000000000000,0.19230139230139230139,0.26666666666666666667
3,19,10,18,8,163,0.785804,0.157895,0.105263,0.105263,0.052632,0.000000,0.105263,0.105263,0.368421,0.30770000000000000000,0.17505542702911123964,0.36809815950920245399
6,53,22,53,20,2748,0.799581,0.075472,0.018868,0.000000,0.000000,0.000000,0.018868,0.056604,0.830189,0.25450000000000000000,0.15498897193701166490,0.20487627365356622999
7,9,5,9,5,35,0.660962,0.333333,0.000000,0.222222,0.000000,0.000000,0.000000,0.111111,0.333333,0.20000000000000000000,0.25460883343236284413,0.62857142857142857143
8,26,12,25,12,546,0.689038,0.153846,0.038462,0.000000,0.076923,0.038462,0.038462,0.038462,0.615385,0.23330000000000000000,0.16402599593389067073,0.26007326007326007326
9,42,17,42,19,1642,0.631205,0.095238,0.047619,0.023810,0.023810,0.000000,0.047619,0.023810,0.738095,0.18460000000000000000,0.18178331642890216744,0.22594397076735688185
10,36,21,36,21,5493,0.889818,0.083333,0.000000,0.083333,0.055556,0.000000,0.000000,0.000000,0.777778,0.28890000000000000000,0.31828484609432195704,0.59148006553795740033
11,25,10,23,13,1041,0.665198,0.120000,0.000000,0.040000,0.080000,0.000000,0.040000,0.080000,0.640000,0.25930000000000000000,0.22607993917671337026,0.70701248799231508165
12,21,9,18,11,505,0.755244,0.142857,0.095238,0.000000,0.000000,0.000000,0.000000,0.142857,0.619048,0.23810000000000000000,0.19518113465481886535,0.62574257425742574257
13,1,0,0,1,0,\N,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000
14,1,0,0,1,0,\N,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000
15,25,14,23,15,1350,0.736794,0.080000,0.080000,0.120000,0.040000,0.080000,0.000000,0.040000,0.560000,0.16000000000000000000,0.15609668109668109668,0.20222222222222222222
16,24,9,24,9,127,\N,0.125000,0.083333,0.083333,0.083333,0.000000,0.000000,0.083333,0.541667,0.21050000000000000000,0.13534401475577946166,0.33070866141732283465
17,4,1,3,2,10,\N,0.250000,0.000000,0.000000,0.250000,0.000000,0.000000,0.250000,0.250000,0.66670000000000000000,0.73333333333333333333,1.00000000000000000000
18,15,5,14,9,37,0.841852,0.266667,0.066667,0.066667,0.200000,0.000000,0.000000,0.200000,0.200000,0.21430000000000000000,0.18333333333333333333,0.27027027027027027027
19,2,0,0,2,0,\N,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.66670000000000000000,0.00000000000000000000,0.00000000000000000000
20,24,13,24,13,656,0.785136,0.166667,0.083333,0.000000,0.000000,0.000000,0.000000,0.166667,0.583333,0.16000000000000000000,0.21985618068567377323,0.25304878048780487805
21,24,13,24,13,668,0.806603,0.166667,0.083333,0.000000,0.000000,0.000000,0.000000,0.166667,0.583333,0.16670000000000000000,0.23176094259043567799,0.25748502994011976048
22,24,13,24,13,682,0.805269,0.166667,0.083333,0.000000,0.000000,0.000000,0.000000,0.166667,0.583333,0.16670000000000000000,0.23176094259043567799,0.25659824046920821114
23,24,13,24,13,714,0.797615,0.166667,0.083333,0.000000,0.000000,0.000000,0.000000,0.166667,0.583333,0.16670000000000000000,0.23969745052694361450,0.23249299719887955182
24,24,13,24,13,654,0.750016,0.166667,0.083333,0.000000,0.000000,0.000000,0.000000,0.125000,0.625000,0.17390000000000000000,0.25168232305329079523,0.22629969418960244648
25,24,13,24,13,580,0.792568,0.166667,0.083333,0.000000,0.000000,0.000000,0.000000,0.125000,0.625000,0.17390000000000000000,0.24334898971995746189,0.21379310344827586207
26,35,19,35,18,8632,0.858680,0.142857,0.057143,0.028571,0.057143,0.000000,0.000000,0.057143,0.657143,0.13560000000000000000,0.17022257469798818755,0.20539851714550509731
27,25,16,23,16,5211,0.585403,0.080000,0.040000,0.080000,0.200000,0.000000,0.000000,0.080000,0.520000,0.22580000000000000000,0.27875664482368870113,0.45730186144693916715
28,64,27,61,25,3438,0.727495,0.031250,0.031250,0.062500,0.000000,0.000000,0.031250,0.000000,0.843750,0.18640000000000000000,0.14261500284227556955,0.29784758580570098895
29,28,15,27,16,575,0.820311,0.107143,0.071429,0.035714,0.107143,0.000000,0.035714,0.000000,0.642857,0.27030000000000000000,0.19649052193052058444,0.28521739130434782609
30,54,32,47,23,3123,0.848468,0.037037,0.018519,0.055556,0.018519,0.000000,0.018519,0.000000,0.851852,0.18180000000000000000,0.23288319194305578673,0.22350304194684598143
31,39,14,39,13,2225,0.558388,0.051282,0.051282,0.051282,0.051282,0.000000,0.000000,0.102564,0.692308,0.18180000000000000000,0.12801741269483204967,0.63595505617977528090
32,42,14,39,14,4303,0.848878,0.023810,0.047619,0.095238,0.047619,0.000000,0.023810,0.071429,0.690476,0.27080000000000000000,0.12284557547715442452,0.33418545201022542412
33,59,29,59,24,7685,0.549265,0.050847,0.033898,0.000000,0.000000,0.000000,0.033898,0.016949,0.864407,0.23200000000000000000,0.18145361412350196496,0.20962914769030579050
