module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
0,136,67,129,20,9482,0.516047,0.000000,0.000000,0.007353,0.007353,0.007353,0.007353,0.014706,0.955882,0.73550000000000000000,0.15583514130760246365,0.38631090487238979118
1,32,8,26,6,57,\N,0.000000,0.000000,0.031250,0.062500,0.000000,0.156250,0.062500,0.687500,0.74070000000000000000,0.26626984126984126984,0.45614035087719298246
2,126,79,122,14,8684,0.482309,0.000000,0.000000,0.007937,0.000000,0.000000,0.031746,0.015873,0.944444,0.88360000000000000000,0.17592535695076837678,0.20382312298479963151
4,100,44,98,14,3392,0.412290,0.000000,0.000000,0.010000,0.000000,0.010000,0.030000,0.030000,0.920000,0.76600000000000000000,0.09553745412930575852,0.36615566037735849057
5,69,22,67,8,3191,0.377020,0.000000,0.014493,0.014493,0.014493,0.014493,0.028986,0.028986,0.884058,0.84210000000000000000,0.17440994227268737073,0.36602945785020369790
6,61,17,60,5,125,0.795040,0.016393,0.000000,0.016393,0.016393,0.000000,0.049180,0.049180,0.852459,0.82350000000000000000,0.14321744921744921745,0.25600000000000000000
9,161,105,156,35,49555,0.862373,0.000000,0.000000,0.006211,0.000000,0.000000,0.012422,0.012422,0.968944,0.80930000000000000000,0.18512494213417402587,0.10775905559479366361
10,38,10,38,3,302,0.727841,0.026316,0.000000,0.052632,0.000000,0.000000,0.078947,0.078947,0.763158,0.83330000000000000000,0.13070735474520244242,0.29139072847682119205
11,16,4,16,1,482,\N,0.000000,0.000000,0.062500,0.000000,0.062500,0.000000,0.375000,0.500000,1.00000000000000000000,0.17548076923076923077,0.98340248962655601660
12,73,31,67,7,4570,0.504492,0.000000,0.000000,0.013699,0.000000,0.013699,0.041096,0.041096,0.890411,0.86360000000000000000,0.16951447998910839639,0.28293216630196936543
13,57,21,56,4,8041,0.830071,0.017544,0.000000,0.017544,0.000000,0.017544,0.017544,0.052632,0.877193,0.90200000000000000000,0.15019117427234717300,0.39696555154831488621
14,46,15,43,7,2104,0.788172,0.021739,0.000000,0.021739,0.000000,0.000000,0.130435,0.065217,0.760870,0.85420000000000000000,0.19960000317143174286,0.31178707224334600760
16,35,9,35,3,1150,0.522979,0.000000,0.000000,0.028571,0.000000,0.028571,0.085714,0.114286,0.742857,0.92000000000000000000,0.14989362489362489362,0.45739130434782608696
18,60,19,58,5,5700,0.902356,0.016667,0.000000,0.016667,0.000000,0.033333,0.033333,0.016667,0.883333,0.91430000000000000000,0.19675536577075353745,0.49649122807017543860
19,87,46,83,17,19767,0.872070,0.000000,0.000000,0.011494,0.000000,0.022989,0.045977,0.034483,0.885057,0.86630000000000000000,0.16724349982719447510,0.22046845753022714625
20,139,53,136,21,17573,0.967758,0.000000,0.007194,0.007194,0.007194,0.000000,0.007194,0.014388,0.956835,0.64060000000000000000,0.16281900007459054653,0.28168212598873271496
22,49,14,49,3,8906,0.853136,0.020408,0.000000,0.020408,0.000000,0.040816,0.020408,0.020408,0.877551,0.92420000000000000000,0.19249979349453653525,0.56669660902762182798
24,137,73,132,16,18663,0.875893,0.000000,0.000000,0.007299,0.000000,0.000000,0.043796,0.014599,0.934307,0.91470000000000000000,0.17077943343403001065,0.15308364142956652200
25,18,6,18,3,5159,0.733129,0.000000,0.000000,0.055556,0.000000,0.055556,0.000000,0.111111,0.777778,0.90910000000000000000,0.49231399741603823236,0.94805194805194805195
27,41,11,41,3,3391,0.813780,0.000000,0.000000,0.024390,0.024390,0.048780,0.024390,0.024390,0.853659,0.80950000000000000000,0.17546117789963290812,0.62931288705396638160
28,54,17,52,5,6873,0.235270,0.000000,0.000000,0.037037,0.000000,0.000000,0.055556,0.074074,0.833333,0.87100000000000000000,0.11647425147471659765,0.48799650807507638586
29,19,6,19,2,3572,0.563954,0.000000,0.000000,0.052632,0.052632,0.052632,0.000000,0.157895,0.684211,0.87500000000000000000,0.36983598720653050025,0.95660694288913773796
30,30,6,30,1,285,0.917801,0.000000,0.000000,0.033333,0.000000,0.100000,0.033333,0.066667,0.766667,1.00000000000000000000,0.11730158730158730159,0.53333333333333333333
32,134,78,125,18,10555,0.780955,0.000000,0.000000,0.007463,0.000000,0.000000,0.037313,0.014925,0.940299,0.87780000000000000000,0.16082492891743552532,0.14353387020369493131
33,65,22,63,3,157219,0.600021,0.000000,0.000000,0.015385,0.000000,0.015385,0.015385,0.046154,0.907692,0.95450000000000000000,0.17446587589464300839,0.73451045993168764590
34,119,52,112,16,37879,0.722124,0.000000,0.000000,0.008403,0.000000,0.008403,0.025210,0.016807,0.941176,0.83900000000000000000,0.10917738229830132344,0.39816257028960637820
35,26,6,26,1,7684,0.903120,0.000000,0.000000,0.038462,0.000000,0.038462,0.038462,0.153846,0.730769,1.00000000000000000000,0.26898938308911576726,0.88560645497136907860
36,15,3,15,2,627,0.542716,0.000000,0.000000,0.066667,0.066667,0.133333,0.000000,0.133333,0.600000,0.80000000000000000000,0.30166666666666666667,0.71610845295055821372
37,11,2,11,2,994,0.589256,0.000000,0.000000,0.090909,0.090909,0.090909,0.090909,0.272727,0.363636,0.75000000000000000000,0.32708333333333333333,0.66398390342052313883
38,72,24,68,5,4050,0.781712,0.000000,0.000000,0.013889,0.000000,0.013889,0.069444,0.041667,0.861111,0.89360000000000000000,0.17326481714269438055,0.45506172839506172840
39,60,14,57,9,1417,0.747697,0.016667,0.000000,0.033333,0.000000,0.033333,0.033333,0.033333,0.850000,0.67570000000000000000,0.14876224086168079586,0.30416372618207480593
40,40,10,40,3,1445,0.863087,0.000000,0.000000,0.050000,0.025000,0.025000,0.000000,0.050000,0.850000,0.52940000000000000000,0.21120897203155267671,0.85259515570934256055
41,34,8,34,3,225,0.517661,0.029412,0.000000,0.058824,0.000000,0.000000,0.088235,0.088235,0.735294,0.80000000000000000000,0.17841666666666666667,0.39111111111111111111
42,59,14,57,5,1162,0.653609,0.016949,0.000000,0.033898,0.000000,0.016949,0.033898,0.033898,0.864407,0.75000000000000000000,0.16094683867313706126,0.45266781411359724613
43,48,11,47,5,1680,0.735849,0.000000,0.000000,0.041667,0.062500,0.020833,0.020833,0.062500,0.791667,0.72220000000000000000,0.14131251588642753043,0.78690476190476190476
44,62,16,60,7,791,0.824696,0.016129,0.000000,0.032258,0.000000,0.016129,0.048387,0.032258,0.854839,0.69770000000000000000,0.13941647522534266569,0.37041719342604298357
45,52,16,52,5,2294,0.577966,0.000000,0.000000,0.038462,0.038462,0.038462,0.038462,0.038462,0.807692,0.80560000000000000000,0.15478136927680538228,0.36399302528334786399
46,26,4,26,2,1622,0.863621,0.000000,0.000000,0.038462,0.038462,0.076923,0.000000,0.153846,0.692308,0.66670000000000000000,0.23177832919768403639,0.93773119605425400740
48,33,9,32,3,1128,0.558247,0.000000,0.000000,0.060606,0.030303,0.060606,0.030303,0.090909,0.727273,0.75000000000000000000,0.20534842472342472342,0.74645390070921985816
49,47,14,45,3,816,0.476480,0.021277,0.000000,0.021277,0.021277,0.000000,0.042553,0.063830,0.829787,0.85000000000000000000,0.14616077882343752217,0.66544117647058823529
52,70,23,70,6,1796,0.685929,0.000000,0.000000,0.028571,0.000000,0.014286,0.071429,0.042857,0.842857,0.82980000000000000000,0.13609631559510960476,0.28507795100222717149
53,54,13,53,5,2239,0.834631,0.000000,0.000000,0.055556,0.000000,0.000000,0.037037,0.055556,0.851852,0.65520000000000000000,0.12383448832607317881,0.39392585975882090219
55,35,9,32,5,982,0.721903,0.000000,0.000000,0.028571,0.000000,0.057143,0.000000,0.057143,0.857143,0.88570000000000000000,0.22544392207421732454,0.77393075356415478615
57,13,2,13,2,208,0.896838,0.000000,0.000000,0.000000,0.153846,0.153846,0.000000,0.153846,0.538462,0.75000000000000000000,0.34375000000000000000,0.87019230769230769231
58,20,6,19,2,271,0.712983,0.000000,0.000000,0.050000,0.050000,0.050000,0.100000,0.150000,0.600000,0.85710000000000000000,0.20833333333333333333,0.52767527675276752768
59,112,50,108,16,558849,0.209345,0.008929,0.000000,0.008929,0.000000,0.000000,0.071429,0.035714,0.875000,0.82350000000000000000,0.10926375830050179286,0.17970507238985844119
60,67,18,65,8,2211,0.352670,0.000000,0.000000,0.014925,0.029851,0.029851,0.044776,0.029851,0.850746,0.77140000000000000000,0.12524258362137097851,0.41112618724559023066
61,14,4,14,1,1921,0.998160,0.000000,0.000000,0.071429,0.000000,0.071429,0.071429,0.357143,0.428571,1.00000000000000000000,0.25895212285456187895,0.49349297241020301926
62,91,30,90,14,15198,0.466543,0.000000,0.000000,0.010989,0.010989,0.010989,0.043956,0.021978,0.901099,0.69230000000000000000,0.11371095564965953412,0.36741676536386366627
63,94,39,90,11,6648,0.624288,0.000000,0.000000,0.010638,0.010638,0.010638,0.042553,0.021277,0.904255,0.79170000000000000000,0.11356633124087137649,0.30986762936221419976
64,22,7,22,1,32177,0.680228,0.000000,0.000000,0.045455,0.000000,0.045455,0.000000,0.181818,0.727273,1.00000000000000000000,0.21731454751142142654,0.93423874195854181558
65,21,4,20,2,17786,0.467861,0.000000,0.000000,0.047619,0.047619,0.095238,0.000000,0.095238,0.714286,0.90910000000000000000,0.22042475572421125960,0.56145282806701900371
66,23,5,21,2,18920,0.997709,0.000000,0.000000,0.043478,0.043478,0.086957,0.000000,0.086957,0.739130,0.91670000000000000000,0.21968864972494736560,0.50290697674418604651
67,18,4,17,2,126541,0.290177,0.000000,0.000000,0.055556,0.055556,0.111111,0.055556,0.166667,0.555556,0.85710000000000000000,0.26706349206349206349,0.41467982709161457551
68,184,98,180,25,14733,0.552496,0.000000,0.000000,0.005435,0.000000,0.000000,0.021739,0.010870,0.961957,0.86260000000000000000,0.15170878636569960985,0.22290097061019480079
69,159,80,158,23,605,0.542852,0.000000,0.000000,0.006289,0.000000,0.000000,0.037736,0.012579,0.943396,0.84510000000000000000,0.11536384079000719766,0.13057851239669421488
72,67,23,61,11,1684,0.611408,0.000000,0.000000,0.014925,0.014925,0.014925,0.029851,0.059701,0.865672,0.81130000000000000000,0.13247676575302415744,0.37885985748218527316
