module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
0,14,8,11,7,239,0.554105,0.071429,0.071429,0.214286,0.142857,0.000000,0.142857,0.000000,0.357143,0.40000000000000000000,0.35930735930735930736,0.38912133891213389121
1,61,36,48,11,5865,0.767709,0.049180,0.000000,0.032787,0.000000,0.000000,0.049180,0.016393,0.852459,0.28890000000000000000,0.21808561808561808562,0.22216538789428815004
2,44,29,33,10,13670,0.368423,0.022727,0.045455,0.068182,0.000000,0.000000,0.000000,0.022727,0.840909,0.23140000000000000000,0.21567165586773429911,0.39231894659839063643
3,3,2,1,2,7786,\N,0.333333,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.50000000000000000000,1.00000000000000000000,0.50000000000000000000
4,22,14,18,8,707,0.722193,0.090909,0.000000,0.181818,0.000000,0.000000,0.090909,0.090909,0.545455,0.25000000000000000000,0.21590909090909090909,0.54031117397454031117
5,28,16,25,8,5308,0.773999,0.107143,0.000000,0.071429,0.035714,0.000000,0.035714,0.035714,0.714286,0.26360000000000000000,0.23154425543365494346,0.29766390354182366240
6,4,1,2,2,654,0.869556,0.000000,0.000000,0.000000,0.500000,0.250000,0.000000,0.250000,0.000000,0.50000000000000000000,0.50000000000000000000,1.00000000000000000000
7,4,1,2,2,35,\N,0.000000,0.000000,0.000000,0.500000,0.250000,0.000000,0.250000,0.000000,0.50000000000000000000,0.50000000000000000000,1.00000000000000000000
8,8,4,6,4,1377,0.601921,0.000000,0.000000,0.250000,0.250000,0.125000,0.000000,0.375000,0.000000,0.33330000000000000000,0.30357142857142857143,0.99128540305010893246
9,5,2,2,3,266,0.426001,0.000000,0.000000,0.200000,0.400000,0.200000,0.000000,0.000000,0.200000,0.33330000000000000000,0.75000000000000000000,0.99624060150375939850
10,4,1,2,2,35,0.000000,0.000000,0.000000,0.000000,0.500000,0.250000,0.000000,0.250000,0.000000,0.50000000000000000000,0.50000000000000000000,1.00000000000000000000
11,15,5,8,7,2545,0.665961,0.000000,0.066667,0.200000,0.200000,0.066667,0.066667,0.266667,0.133333,0.36840000000000000000,0.16666666666666666667,0.84872298624754420432
12,16,6,12,4,91,0.652539,0.000000,0.000000,0.187500,0.062500,0.062500,0.062500,0.062500,0.562500,0.41670000000000000000,0.35714285714285714286,0.83516483516483516484
13,10,5,8,4,1235,0.009484,0.000000,0.000000,0.300000,0.100000,0.100000,0.000000,0.300000,0.200000,0.37500000000000000000,0.33333333333333333333,0.99433198380566801619
14,25,14,21,9,742,0.358172,0.040000,0.040000,0.120000,0.120000,0.080000,0.040000,0.040000,0.520000,0.25000000000000000000,0.19581529581529581530,0.32210242587601078167
